incident_count,avg_age,pct_armed,pct_mental,Median Income_imputed,poverty_rate_imputed,percent_completed_hs_imputed,share_white_imputed,share_black_imputed
1,35.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,29.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,26.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,26.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,21.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,62.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,42.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,29.0,1.0,1.0,41250.0,16.5,85.5,100.0,0.0
1,68.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,62.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,33.0,0.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,53.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
8,33.375,0.875,0.0,47668.0,16.8,86.8,81.1,1.9
1,54.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,40.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
3,43.333333333333336,1.0,0.3333333333333333,47668.0,16.8,86.8,81.1,1.9
1,26.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,20.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,12.0,0.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,27.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,47.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
32,32.3125,0.84375,0.09375,35313.0,29.0,76.3,55.2,16.3
1,41.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
7,34.285714285714285,0.8571428571428571,0.14285714285714285,35313.0,29.0,76.3,55.2,16.3
1,77.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,41.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,25.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,37.0,0.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,54.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,31.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,36.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
2,48.5,0.5,0.0,35313.0,29.0,76.3,55.2,16.3
11,29.0,0.7272727272727273,0.18181818181818182,47668.0,16.8,86.8,81.1,1.9
1,31.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,59.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,67.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,35.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,49.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,23.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,8.0,0.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,30.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,43.0,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
1,36.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,40.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,40.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
