city,state,economic_inclusion_index_2016,racial_inclusion_index_2016
Salem,OR,0.202,-0.626
Tallahassee,FL,-0.417,-0.140
Flint,MI,-0.972,0.297
Green Bay,WI,0.612,-0.981
Wichita,KS,-0.176,-0.367
Philadelphia,PA,-0.364,-0.218
New York,NY,-0.334,-0.248
Alexandria,VA,-0.045,-0.479
Mobile,AL,-0.209,-0.357
Warren,MI,-0.290,-0.294
El Monte,CA,-0.634,-0.027
Des Moines,IA,0.060,-0.590
Columbus,GA,-0.473,-0.178
Arlington,TX,-0.450,-0.212
Waco,TX,-0.663,-0.045
Salinas,CA,-0.323,-0.329
Chicago,IL,-0.391,-0.287
Cleveland,OH,-0.513,-0.193
Oakland,CA,-0.438,-0.262
Greensboro,NC,-0.047,-0.578
Glendale,AZ,-0.485,-0.231
Peoria,IL,-0.177,-0.504
High Point,NC,-0.202,-0.486
Amarillo,TX,-0.247,-0.464
Yonkers,NY,-0.187,-0.517
Oklahoma City,OK,-0.413,-0.338
Syracuse,NY,-0.236,-0.481
Denver,CO,-0.373,-0.377
San Bernardino,CA,-1.034,0.147
Louisville,KY,-0.156,-0.585
Kansas City,MO,-0.337,-0.445
Long Beach,CA,-0.376,-0.418
Columbia,SC,-0.114,-0.644
Dayton,OH,-0.343,-0.485
Brownsville,TX,-0.890,-0.082
Santa Ana,CA,-0.468,-0.421
Sioux Falls,SD,0.530,-1.224
Toledo,OH,-0.257,-0.595
Laredo,TX,-1.457,0.365
Kansas City,KS,-0.844,-0.128
Cincinnati,OH,-0.380,-0.508
Joliet,IL,-0.339,-0.560
Salt Lake City,UT,-0.151,-0.715
Youngstown,OH,-0.756,-0.256
Indianapolis,IN,-0.405,-0.559
Canton,OH,-0.454,-0.529
Tampa,FL,-0.708,-0.329
Trenton,NJ,-1.544,0.336
Winston-Salem,NC,-0.362,-0.630
Albany,NY,-0.466,-0.552
Los Angeles,CA,-0.807,-0.280
Tulsa,OK,-0.763,-0.320
Little Rock,AR,-0.520,-0.537
Mesa,AZ,-0.347,-0.685
Macon,GA,-0.589,-0.507
Knoxville,TN,-0.378,-0.706
Escondido,CA,-0.712,-0.449
Montgomery,AL,-0.514,-0.618
Rochester,NY,-0.649,-0.525
Baton Rouge,LA,-0.802,-0.419
Grand Rapids,MI,-0.238,-0.878
Minneapolis,MN,0.123,-1.172
Wilmington,NC,-0.298,-0.839
Jackson,MS,-0.840,-0.419
Huntsville,AL,-0.135,-0.983
St. Louis,MO,-0.526,-0.688
Buffalo,NY,-0.612,-0.622
Clearwater,FL,-0.787,-0.498
Omaha,NE,-0.045,-1.144
Evansville,IN,-0.782,-0.557
Fresno,CA,-1.091,-0.316
Erie,PA,-0.410,-0.863
Milwaukee,WI,-0.587,-0.732
Scranton,PA,-0.145,-1.090
New Orleans,LA,-1.112,-0.358
Fort Lauderdale,FL,-0.744,-0.656
Lafayette,LA,-0.210,-1.088
Gresham,OR,-0.874,-0.588
Fort Wayne,IN,-0.257,-1.162
Richmond,VA,-0.757,-0.767
Memphis,TN,-1.167,-0.447
Rockford,IL,-0.860,-0.725
Springfield,MA,-0.651,-0.900
Phoenix,AZ,-0.904,-0.698
St. Paul,MN,-0.277,-1.200
Atlanta,GA,-0.703,-0.891
Miami,FL,-1.689,-0.107
Springfield,IL,-0.664,-1.050
South Bend,IN,-0.841,-0.933
Dallas,TX,-1.290,-0.657
Houston,TX,-1.099,-0.890
Shreveport,LA,-1.313,-0.834
